,order_id,score,error
573,236888728727461888,707.23,
900,236859258310242304,707.22,
787,236870519001460736,706.96,
1365,236501605264412672,706.31,
1017,236823137236828160,706.16,
90,236486062914420736,706.15,
283,236788075053211648,706.08,
706,236977473673781248,705.93,
1400,236485272971776000,705.78,
751,236432958101671936,705.53,
1348,236399684759339008,705.5,
1379,236821408860626944,705.29,
1635,236867053780746240,705.26,
1688,236859045877125120,705.26,
831,236556044029419520,705.23,
241,236585930513207296,705.21,
452,236982061931958272,705.07,
1261,236826052517171200,705.02,
1025,236924209255157760,704.99,
1672,236464141430697984,704.98,
1716,236847497033043968,704.91,
22,236845041918160896,704.76,
496,236816245458485248,704.76,
102,236776360462798848,704.71,
230,236406378734292992,704.6,
465,236629112143757312,704.57,
700,236494319359909888,704.56,
1595,236893995145891840,704.55,
403,236784607173287936,704.48,
1230,236604702867337216,704.46,
1358,236722098227654656,704.35,
174,236773480213262336,704.32,
201,236796963471241216,704.31,
20,236516455172550656,704.25,
527,236878086817714176,704.1,
1624,236468586692485120,704.05,
303,236944683104223232,703.97,
1186,236449214850674688,703.94,
235,236884431793037312,703.85,
26,236521393604804608,703.83,
558,236527090291724288,703.78,
256,236536379509059584,703.62,
1061,236893244042526720,703.62,
1582,236921770422579200,703.6,
1389,236786079608881152,703.51,
1367,236861656571334656,703.4,
1556,236933099262861312,703.16,
584,236620421013188608,703.01,
1004,236904615069093888,702.95,
1292,236477480600870912,702.87,
1040,236966774696321024,702.79,
261,236900382341095424,702.76,
1126,236784098769117184,702.66,
1350,236397514211201024,702.65,
1262,236380965349888000,702.65,
129,236523860212064256,702.59,
847,236607928429711360,702.59,
968,236857443636236288,702.43,
322,236438619787116544,702.38,
1095,236453661953769472,702.35,
1482,236977041396228096,702.27,
1368,236892985404956672,702.2,
162,236437903358054400,702.12,
1707,236856858400788480,702.09,
319,236876479338127360,702.01,
236,236340212007456768,701.96,
834,236455249543962624,701.85,
237,236865203648077824,701.71,
1185,236527086000951296,701.62,
1652,236976424212774912,701.54,
1642,236482879706116096,701.39,
1200,236851834840944640,701.35,
1680,236633976286482432,701.3,
1227,236422926760955904,701.18,
886,236927898871156736,701.17,
134,236426658848444416,701.13,
597,236874457184481280,701.08,
783,236861196389068800,700.67,
321,236782863001341952,700.38,
514,236812969371521024,700.33,
640,236433737067794432,700.33,
746,236864564025110528,700.31,
839,236412245428936704,700.22,
577,236302444111859712,700.12,
1115,236494532522815488,700.05,
891,236467076067758080,699.99,
967,236444329920966656,699.97,
216,236897404251033600,699.96,
1038,236822324435230720,699.87,
101,236560123627585536,699.82,
1632,236451731923804160,699.8,
1610,236841120906629120,699.8,
271,236438534785343488,699.68,
1181,236835457606361088,699.64,
388,236970710958358528,699.49,
1619,236822214204739584,699.48,
997,236598753066770432,699.41,
810,236590232178790400,699.27,
1007,236490086837403648,699.17,
176,236421144588591104,699.05,
227,236448653824761856,698.98,
19,236784370459348992,698.85,
661,236650629942489088,698.71,
1310,236430604476354560,698.67,
1305,236933152773783552,698.67,
820,236870543848525824,698.63,
1419,236417641883385856,698.62,
1124,236792380397207552,698.6,
899,236469955457474560,698.49,
1453,236536383032266752,698.44,
778,236866100558061568,698.42,
1240,236784275089272832,698.41,
280,236433340928372736,698.38,
1172,236550868790951936,698.37,
800,236912568048308224,698.32,
1564,236415488607395840,698.26,
829,236933704605786112,698.26,
1605,236567490507325440,698.24,
1165,236844528535363584,698.12,
618,236840864244580352,698.09,
1303,236533988718043136,697.94,
1033,236416327677919232,697.88,
976,236481296683511808,697.88,
941,236811806521704448,697.81,
529,236540468846399488,697.77,
98,236790834846523392,697.61,
